"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
11.,"Secgo California King Quilt Size - 100% Cotton Oversized California Comforter Set Green Bedding Sets (120 * 110 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedspread","B09C1TRSP2","https://www.amazon.com/dp/B09C1TRSP2?psc=1","https://m.media-amazon.com/images/I/81pZAhDH7IL._AC_SY355_.jpg","Secgo",119.99,4961,286,200,546681.75,39172.4,181,8178,"CN",31.38,3,4.6,6897,6,72,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.00 x 6.50 x 11.50 in",9.4,"N/A","Mar 20, 2021","Sponsored Brand Video","No",66,"Brindille"
12.,"WDCOZY Cloud Soft Quilt Set, King Size, Light Beige, 3 Pieces 104x90 inches","B0DJ6WWZP2","https://www.amazon.com/dp/B0DJ6WWZP2?psc=1","https://m.media-amazon.com/images/I/81Vj1MSRN6L._AC_SY355_.jpg","WDCOZY",49.99,5766,156,"N/A",272901.8,7795.77,75,904,"HK",15.81,3,4.3,5268,9,368,"WDCOZY","Home & Kitchen","Large Standard-Size","FBA","17.20 x 7.80 x 7.83 in",5.64,"N/A","Sep 28, 2024",,"No",24,"WDCOZY"
13.,"WONGS BEDDING Beige Quilt Queen Size, Boho Striped Bedspread","B0DFH3X2CH","https://www.amazon.com/dp/B0DFH3X2CH?psc=1","https://m.media-amazon.com/images/I/81CMP4tMLjL._AC_SY355_.jpg","WONGS BEDDING",33.26,2778,331,300,104327.5,11335.9,60,12146,"HK",14.02,2,4.6,1108,8,39,"Wongs bedding USA( Gift shop)","Home & Kitchen","Large Standard-Size","FBA","14.41 x 7.01 x 7.40 in",4.17,"N/A","Nov 14, 2024",,"No",22,"Wongs bedding USA( Gift shop)"
14.,"Bedsure Quilts Queen Size - Grey Bedspreads Queen Size with Basket Weave Pattern, Soft Quilt Bedding Set, Lightweight Comforter Set Coverlet for All Seasons with 2 Pillow Shams (90"" x 96"")","B01DLK7WR4","https://www.amazon.com/dp/B01DLK7WR4?psc=1","https://m.media-amazon.com/images/I/81dhvC1WbLL._AC_SY355_.jpg","Bedsure",33.99,8709,718,800,388282.56,28795.92,188,2806,"US",14.74,1,4.6,18161,9,164,"Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.61 x 7.44 x 7.72 in",5.58,"N/A","Mar 29, 2016",,"No",126,"Bedsure  Collections"
15.,"($) EVERGRACE 100% Cotton Cross Stitch 3-Piece Quilt Set, King, Powder Blue","B0GYP4VH5B","https://www.amazon.com/dp/B0GYP4VH5B?psc=1","https://m.media-amazon.com/images/I/81qeMhkWFSL._AC_SY355_.jpg","EverGrace",119.99,1480,8,"N/A",185050.47,1044.07,71,22705,"US",34,2,4.5,452,9,20,"EVERGRACEHOME","Home & Kitchen","Large and Bulky","FBA","19.60 x 5.08 x 17.13 in",9.79,"N/A","Apr 27, 2026","Sponsored","No",5,"EVERGRACEHOME"
16.,"($) 100% Cotton King Size Quilt Set, Solid Retro Blue Paisley Bedspreads","B0FZJ1Q35V","https://www.amazon.com/dp/B0FZJ1Q35V?psc=1","https://m.media-amazon.com/images/I/91fUOfqNUpL._AC_SY355_.jpg","AJOCCI",116.99,1439,14,"N/A",135352.1,1507.69,68,72341,"CN",27.76,1,4.5,250,8,9,"MEIZIZI","Home & Kitchen","Large Standard-Size","FBA","15.83 x 5.71 x 11.69 in",8.18,"N/A","Nov 3, 2025","Sponsored","No",10,"MEIZIZI"
17.,"($) LEAONME Cotton Quilt Set Oversized California King, Beige 120''x120'' Coverlet Bedspread, 3 Piece Lightweight Bedding Set with 2 Shams","B0H2WHK6QX","https://www.amazon.com/dp/B0H2WHK6QX?psc=1","https://m.media-amazon.com/images/I/817O3IBVLYL._AC_SY355_.jpg","LEAONME",172.99,0,0,"N/A",0,0,134,236240,"CN","N/A",1,4.2,6,"N/A",0,"LEAONME HOME","Home & Kitchen","N/A","N/A","N/A","N/A","N/A","N/A","Sponsored","No","N/A","LEAONME HOME"
18.,"($) DOWN HOME Luxury Prewashed Microfiber Quilt Set Queen Size – Ultra Soft Brushed Microfiber Bedding with 2 Shams, All-Season Lightweight Coverlet, Wrinkle & Fade Resistant (White, 3-Piece, 88""x92"")","B0H4Z56W25","https://www.amazon.com/dp/B0H4Z56W25?psc=1","https://m.media-amazon.com/images/I/71eO6dEBqTL._AC_SY355_.jpg","DOWN HOME",42.99,134,38,"N/A",5740.21,1647.36,196,201636,"US",14.33,1,4.8,23,8,21,"Down Home Manufacturing LLC","Home & Kitchen","Large Standard-Size","FBA","6.30 x 17.30 x 6.30 in",4.8,"N/A","Jun 11, 2026","Sponsored","No",3,"Down Home Manufacturing LLC"
19.,"Mybedsoul Boho Quilts Queen Size, Patchwork Floral Bedding Set, Blue","B0BGS9VP2S","https://www.amazon.com/dp/B0BGS9VP2S?psc=1","https://m.media-amazon.com/images/I/9146yXrH8xL._AC_SY355_.jpg","Mybedsoul",32.84,4275,277,400,183417.06,12450.97,68,8690,"CN",14.71,1,4.6,4241,6,98,"Shaozhi US","Home & Kitchen","Large Standard-Size","FBA","14.02 x 6.65 x 7.72 in",4.1,"N/A","Sep 29, 2022",,"No",48,"Shaozhi US"
20.,"Wake In Cloud - Floral Quilt Set, Coquette Cottagecore Shabby Chic Flower Pattern for Women Teen Girls, Reversible Lightweight Bedspread Coverlet, 3 Pieces, Pink, Queen/Full Size","B0CRPT3D1D","https://www.amazon.com/dp/B0CRPT3D1D?psc=1","https://m.media-amazon.com/images/I/81vCprsAEzL._AC_SY355_.jpg","Wake In Cloud",25.99,1708,57,"N/A",52471.01,1570.74,178,19658,"AU",11.3,2,4.6,477,8,31,"Wake In Cloud","Home & Kitchen","Large Standard-Size","FBA","13.43 x 4.09 x 10.75 in",4.23,"N/A","Jan 6, 2024",,"No",32,"Wake In Cloud"
21.,"akkialla Full/Queen Size Quilt Bedding Set, Beige Lightweight Microfiber Soft Bedspread, Modern Style Geoetric Pattern Coverlet Set for All Seasons, 3 Piece(1 Quilt, 2 Pillow Shams)","B0DD3YKGCZ","https://www.amazon.com/dp/B0DD3YKGCZ?psc=1","https://m.media-amazon.com/images/I/81fj2tyxBwL._AC_SY355_.jpg","akkialla",23.79,4219,518,600,121973.48,12574.79,181,6221,"CN",11.28,1,4.4,1308,8,83,"Joer&Linry","Home & Kitchen","Large Standard-Size","FBA","13.27 x 4.72 x 9.76 in",4.5,"N/A","Aug 14, 2024",,"No",25,"Joer&Linry"
22.,"Woolrich Quilt Set Queen, Southwestern Aztec Bedding, Reversible Lightweight Bedspread, Oversized Rustic Cabin Quilt Set, Western Farmhouse Bedding with Matching Shams, Black","B01IR0VOD6","https://www.amazon.com/dp/B01IR0VOD6?psc=1","https://m.media-amazon.com/images/I/81WznqxptIL._AC_SY355_.jpg","Woolrich John Rich &amp; Bros.",82.66,2041,117,100,185934.05,9698.09,174,22194,"AMZ",29.11,2,4.6,7257,11,15,"Amazon","Home & Kitchen","Large and Bulky","FBA","19.50 x 8.00 x 14.50 in",8.74,"N/A","Jul 19, 2016",,"No",122,"Amazon"
23.,"($) Secgo King Size Comforter Set- 100% Cotton Quilt King Size Set, Green, Sage bedspreads (96 * 108 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedding","B091CBY73X","https://www.amazon.com/dp/B091CBY73X?psc=1","https://m.media-amazon.com/images/I/810qfdjn0qL._AC_SY355_.jpg","Secgo",85.49,4961,400,400,546681.75,36025.2,164,8178,"CN",24.04,2,4.6,6897,6,72,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.09 x 4.61 x 12.56 in",7.85,"N/A","May 10, 2021","Sponsored","No",64,"Brindille"
24.,"($) YAYIDAY Quilts Queen Size Patchwork Bedspread Set","B077MYV167","https://www.amazon.com/dp/B077MYV167?psc=1","https://m.media-amazon.com/images/I/81Fffv84ivL._AC_SY355_.jpg","YAYIDAY",119.99,55,5,"N/A",8260.17,596.13,49,374233,"CN",26.93,1,4.7,719,6,571,"YAYIDAY","Home & Kitchen","Large Standard-Size","FBA","16.86 x 4.45 x 13.55 in",8.16,"N/A","Dec 19, 2017","Sponsored","No",105,"YAYIDAY"
25.,"($) Queen Quilt Set, 3 Pieces Lightweight Microfiber Bedspread with 2 Pillow Shams, All Season Coverlet Bedding – Taupe Queen Set","B07FLH4X2Y","https://www.amazon.com/dp/B07FLH4X2Y?psc=1","https://m.media-amazon.com/images/I/81jWJ4aZypL._AC_SY355_.jpg","ANNA.Z HOME",6,32,8,"N/A",2087.29,457.06,125,403911,"US",18.84,1,4.3,1838,9,0,"ANNA.Z HOME","Home & Kitchen","Large Standard-Size","FBA","16.93 x 6.42 x 12.32 in",4.94,"N/A","Jul 14, 2018","Sponsored","No",98,"ANNA.Z HOME"
26.,"($) EVERGRACEHOME 100% Cotton Paisley Quilt Set, King Size, Olive Green","B0DLGJ2XNM","https://www.amazon.com/dp/B0DLGJ2XNM?psc=1","https://m.media-amazon.com/images/I/81pXjuk3VzL._AC_SY355_.jpg","EverGrace",109.99,1948,135,200,189862.21,14818.3,67,20732,"US",26.22,1,4.5,690,8,59,"EVERGRACEHOME","Home & Kitchen","Large Standard-Size","FBA","17.04 x 5.20 x 13.30 in",9.5,"N/A","Oct 30, 2024","Sponsored","No",23,"EVERGRACEHOME"
27.,"($) Cal King Paisley Quilt Bedding Set with 2 Shams, Reversible Taupe Quilts","B07FLBM5K1","https://www.amazon.com/dp/B07FLBM5K1?psc=1","https://m.media-amazon.com/images/I/917GTZvhjWL._AC_SY355_.jpg","Southshore Fine Living, Inc.",59.99,1251,33,"N/A",69638.67,1955.68,72,114972,"US",18.22,2,4.6,3034,9,13,"SouthShore Fine Living, Inc.","Home & Kitchen","Large Standard-Size","FBA","16.00 x 6.60 x 11.00 in",7.8,"N/A","Jul 1, 2018","Sponsored","No",98,"SouthShore Fine Living, Inc."
