"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
42.,"Levtex Home Adare Taupe Reversible King/Cal King Quilt Set (106x92in) and 2 Pillow Shams (36x20in) - Floral Bedding - Taupe White - Cotton King Size Quilt Bedding Set - Lightweight, Soft, Pre-Washed","B0DN6XCXJ9","https://www.amazon.com/dp/B0DN6XCXJ9?psc=1","https://m.media-amazon.com/images/I/91KyslmZ-1L._AC_SY355_.jpg","Levtex Home",144.49,3050,111,100,363905.28,18175.47,198,22772,"US",36.17,2,4.7,214,9,14,"Max&Taffy","Home & Kitchen","Large and Bulky","MFN","18.00 x 9.75 x 13.50 in",8.85,"N/A","Nov 15, 2024",,"No",22,"Max&Taffy"
43.,"Wake In Cloud - Western Quilt Set, Southwestern Aztec Country Horse Cowboy Rustic Ranch Pattern Printed, Reversible Lightweight Bedspread Coverlet, 3 Pieces, Turquoise Taupe, Queen/Full Size","B0CTLQN9PS","https://www.amazon.com/dp/B0CTLQN9PS?psc=1","https://m.media-amazon.com/images/I/81sGpHMwNuL._AC_SY355_.jpg","Wake In Cloud",32.99,1065,142,100,34868.64,4689.59,190,60254,"AU",12.51,1,4.8,397,7,25,"Wake In Cloud","Home & Kitchen","Large Standard-Size","FBA","13.58 x 3.70 x 10.67 in",4.54,"N/A","Jan 30, 2024",,"No",32,"Wake In Cloud"
44.,"Exclusivo Mezcla Reversible Boho Quilts Queen Size Gray","B0B7MF9VL9","https://www.amazon.com/dp/B0B7MF9VL9?psc=1","https://m.media-amazon.com/images/I/81crr9Qkt+L._AC_SY355_.jpg","Exclusivo Mezcla",29.99,3072,237,300,105313.49,7101.32,55,17279,"CN",12.73,3,4.5,5305,6,33,"Exclusivo Mezcla","Home & Kitchen","Large Standard-Size","FBA","14.25 x 6.26 x 10.35 in",5.18,"N/A","Jul 25, 2022",,"No",50,"Exclusivo Mezcla"
45.,"WDCOZY Cloud Soft Quilt Set, Queen Size, Moss Green, 3 Pieces 90x90 inches","B0FCLC6282","https://www.amazon.com/dp/B0FCLC6282?psc=1","https://m.media-amazon.com/images/I/91R+K8kFQML._AC_SY355_.jpg","WDCOZY",44.99,5766,204,600,272901.8,9183.72,74,904,"HK",15.04,3,4.3,5268,9,368,"WDCOZY","Home & Kitchen","Large Standard-Size","FBA","16.77 x 6.77 x 7.36 in",4.94,"N/A","Jun 9, 2025",,"No",15,"WDCOZY"
46.,"WDCOZY Cloud Soft Quilt Set, Queen Size, Light Beige, 3 Pieces 90x90 inches","B0DJ6XGCFD","https://www.amazon.com/dp/B0DJ6XGCFD?psc=1","https://m.media-amazon.com/images/I/81Vj1MSRN6L._AC_SY355_.jpg","WDCOZY",44.99,5766,278,900,272901.8,12509.23,75,904,"HK",14.96,3,4.3,5268,9,368,"WDCOZY","Home & Kitchen","Large Standard-Size","FBA","16.77 x 6.81 x 7.09 in",4.85,"N/A","Sep 28, 2024",,"No",24,"WDCOZY"
47.,"Wonderful - Taupe Floral Quilt King Size, 3-Piece Breathable Cotton Face Bedding Set, Neutral Vintage Farmhouse Rustic Lightweight Bedspread for All Season","B0DSKMLWQ7","https://www.amazon.com/dp/B0DSKMLWQ7?psc=1","https://m.media-amazon.com/images/I/91ATZDNTtwL._AC_SY355_.jpg","Wonderful",77.99,1503,177,"N/A",121448.56,13807.18,155,45081,"US",21.17,2,4.4,376,8,16,"Wonderful Domus","Home & Kitchen","Large Standard-Size","FBA","16.81 x 5.83 x 12.76 in",6.31,"N/A","Jan 8, 2025",,"No",20,"Wonderful Domus"
48.,"Exclusivo Mezcla Ultrasonic Full Queen Quilt Bedding Set, Brich Beige","B0CS328H69","https://www.amazon.com/dp/B0CS328H69?psc=1","https://m.media-amazon.com/images/I/71Y3JT4v5GL._AC_SY355_.jpg","Exclusivo Mezcla",27.99,5550,659,800,174583.33,17267.38,69,9443,"CN",12.29,2,4.5,3295,6,88,"Exclusivo Mezcla","Home & Kitchen","Large Standard-Size","FBA","16.38 x 6.18 x 6.38 in",4.01,"N/A","Jan 10, 2024",,"No",32,"Exclusivo Mezcla"
49.,"HORIMOTE HOME Quilt Set Queen Size Navy Blue, Classic Geometric Diamond Stitched Pattern, Ultra Soft Microfiber Lightweight Bedding Bedspread Coverlet for All Season with 1 Quilt 2 Pillow Shams","B085DLHZQ1","https://www.amazon.com/dp/B085DLHZQ1?psc=1","https://m.media-amazon.com/images/I/71vQq9x6aXL._AC_SY355_.jpg","HORIMOTE HOME",29.99,5887,577,700,200169.31,17222.75,193,5587,"CN",12.62,3,4.6,9018,7,103,"HORIMOTE HOME","Home & Kitchen","Large Standard-Size","FBA","15.75 x 6.65 x 7.44 in",4.52,"N/A","Mar 3, 2020",,"No",78,"HORIMOTE HOME"
50.,"CozyLux Queen Comforter Set, 7 Pieces White Seersucker Bed in a Bag","B08CRNCJFC","https://www.amazon.com/dp/B08CRNCJFC?psc=1","https://m.media-amazon.com/images/I/81xcL-Lv2mL._AC_SY355_.jpg","CozyLux",36.99,24558,2746,3000,1550963.75,137281.62,67,809,"CN",16.7,3,4.4,10967,9,174,"CozyLux","Home & Kitchen","Large Standard-Size","FBA","16.10 x 4.29 x 13.11 in",3.53,"N/A","Nov 1, 2020",,"No",70,"CozyLux"
51.,"Secgo Queen Comforter Set for Bed - 100% Cotton Quilts Queen Size, Green, Sage Bedspreads (90 * 98 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedding","B091CBXCF8","https://www.amazon.com/dp/B091CBXCF8?psc=1","https://m.media-amazon.com/images/I/810qfdjn0qL._AC_SY355_.jpg","Secgo",76.99,4961,523,500,546681.75,43260.69,166,8178,"CN",21.58,3,4.6,6897,6,64,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.17 x 5.08 x 12.09 in",6.04,"N/A","May 10, 2021",,"No",64,"Brindille"
52.,"Bedsure Quilts Queen Size - Lightweight Comforter Queen Size for Summer, Bright White Bedspread Quilt with Clover Pattern, Soft Ultrasonic Coverlet, Modern All-Season Bedding, 90 x 96 Inches","B0BMQ5QVCK","https://www.amazon.com/dp/B0BMQ5QVCK?psc=1","https://m.media-amazon.com/images/I/91pheu6DTaL._AC_SY355_.jpg","Bedsure",34.97,6963,786,900,309740.56,31699.71,190,3803,"US",13.37,2,4.4,2971,9,"N/A","Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.65 x 7.09 x 7.56 in",4.98,"N/A","Nov 17, 2022",,"No",46,"Bedsure  Collections"
53.,"WDCOZY Cloud Soft Quilt Set, Queen Size, White, 3 Pieces 90x90 inches","B0B5LDJ7CF","https://www.amazon.com/dp/B0B5LDJ7CF?psc=1","https://m.media-amazon.com/images/I/81nxDfYLdQL._AC_SY355_.jpg","WDCOZY",44.99,5766,184,700,272901.8,8257.1,69,904,"HK",14.73,2,4.3,5268,9,360,"WDCOZY","Home & Kitchen","Large Standard-Size","FBA","16.97 x 6.42 x 7.52 in",4.81,"N/A","Jun 30, 2022",,"No",51,"WDCOZY"
54.,"Love's cabin King Size Quilt Set White Bedspreads - Soft Bed Summer Lightweight Bedspread Comforter - Modern Style Coin Pattern Coverlet for All Season - 3 Pieces (1 Quilt, 2 Pillow Shams)","B08ZN8LXQ9","https://www.amazon.com/dp/B08ZN8LXQ9?psc=1","https://m.media-amazon.com/images/I/81UiibbfZ5L._AC_SY355_.jpg","Love's cabin",36.99,32390,632,500,1178630.84,22656.08,188,330,"CN",14.19,7,4.5,9341,7,154,"Lovescabin","Home & Kitchen","Large Standard-Size","FBA","13.66 x 7.48 x 10.71 in",6.11,"N/A","Mar 22, 2021",,"No",66,"Lovescabin"
55.,"Exclusivo Mezcla Reversible Full Queen Quilt Bedding Set, Grey","B07S6N5C5P","https://www.amazon.com/dp/B07S6N5C5P?psc=1","https://m.media-amazon.com/images/I/81j7fsOEGfL._AC_SY355_.jpg","Exclusivo Mezcla",25.19,6663,425,400,198233.89,11118.06,62,3970,"CN",11.66,2,4.5,17277,6,"N/A","Exclusivo Mezcla","Home & Kitchen","Large Standard-Size","FBA","16.06 x 6.30 x 6.89 in",3.81,"N/A","May 27, 2019",,"No",88,"Exclusivo Mezcla"
56.,"Madison Park Vintage Floral Quilt Set, 3PC King/Cal King Reversible Bed Set","B0G2LMXRF5","https://www.amazon.com/dp/B0G2LMXRF5?psc=1","https://m.media-amazon.com/images/I/81ZrbKUr4gL._AC_SY355_.jpg","Madison Park",79.99,253,13,"N/A",14274.4,961.71,75,152286,"AMZ",21.99,2,4.1,86,12,7,"Amazon","Home & Kitchen","Large Standard-Size","FBA","16.93 x 6.93 x 13.11 in",8.09,"N/A","Nov 17, 2025",,"No",10,"Amazon"
57.,"EXQ Home Quilt Set Queen Size Summer Squares Pattern Navy Bedspread","B07SR5CLX8","https://www.amazon.com/dp/B07SR5CLX8?psc=1","https://m.media-amazon.com/images/I/81cUJ5GJkoL._AC_SY355_.jpg","EXQ Home",24.18,2369,75,100,69238.44,2249.3,67,35123,"CN",14.52,3,4.6,12007,6,18,"Exqhome","Home & Kitchen","Large Standard-Size","FBA","13.27 x 6.26 x 10.79 in",4.92,"N/A","Jun 5, 2019",,"No",87,"Exqhome"
58.,"Bedsure Quilts Queen Size - Queen Quilt Bedding Set Bedspread Coverlet Comforter, Lightweight Neutral Striped Bedding, 3-Piece Set with 90""x96"" Coverlet & 2 Pillow Shams, All-Season Soft Microfiber","B0FH51CVXT","https://www.amazon.com/dp/B0FH51CVXT?psc=1","https://m.media-amazon.com/images/I/81ESlc5bjTL._AC_SY355_.jpg","Bedsure",48.99,1753,217,200,106063.65,12790.7,197,36208,"HK",17.1,2,4.6,1288,9,27,"Bedsure Sleep Solutions","Home & Kitchen","Large Standard-Size","FBA","15.31 x 7.24 x 7.48 in",5.8,"N/A","Nov 1, 2025",,"No",10,"Bedsure Sleep Solutions"
59.,"Bedsure Tufted Boho Comforter Set Queen, Bedroom Decor Bedding Set Beige","B0CD7884D2","https://www.amazon.com/dp/B0CD7884D2?psc=1","https://m.media-amazon.com/images/I/91fgUwNk09L._AC_SX355_.jpg","Bedsure",51.99,11187,915,1000,693687.06,45557.62,72,1328,"HK",16.94,2,4.5,7878,9,12,"Bedsure Sleep Solutions","Home & Kitchen","Large Standard-Size","FBA","15.79 x 5.79 x 12.05 in",7.96,"N/A","Jul 30, 2023",,"No",38,"Bedsure Sleep Solutions"
60.,"WONGS BEDDING Boho King Quilt Bedding Set, 3 Pieces Soft Bedspread, Blue","B0B53HVCT5","https://www.amazon.com/dp/B0B53HVCT5?psc=1","https://m.media-amazon.com/images/I/816+uEco0wL._AC_SY355_.jpg","WONGS BEDDING",30.25,3491,273,400,142999.4,8509.38,72,13419,"HK",13.22,1,4.6,4520,7,86,"Wongs bedding USA( Gift shop)","Home & Kitchen","Large Standard-Size","FBA","15.20 x 7.20 x 7.28 in",4.89,"N/A","Jun 25, 2022",,"No",51,"Wongs bedding USA( Gift shop)"
61.,"Autumn Dream Cotton Bedspread Quilt Sets, Soft Reversible Coverlet Lightweight Comforters, Luxury Floral Vintage Patchwork Quilt Turquoise Bedding Sets, King Size","B0C7G6MDW2","https://www.amazon.com/dp/B0C7G6MDW2?psc=1","https://m.media-amazon.com/images/I/71Mwswed8sL._AC_SY355_.jpg","Autumn Dream",96,721,108,50,64290.92,10357.26,162,117279,"CN",24.62,1,4.6,757,9,22,"AutumnDream","Home & Kitchen","Large Standard-Size","FBA","17.28 x 7.52 x 11.81 in",8.09,"N/A","Jun 7, 2023",,"No",39,"AutumnDream"
62.,"Patchwork Quilt Set Full/Queen Size, 3 Pieces Green Floral Plaid Summer Bedspread Coverlet Set, Soft Microfiber Reversible Lightweight Bed Cover for All Season (90"" x 90"", 1 Quilt+ 2 Pillow Shams)","B09TSD62XR","https://www.amazon.com/dp/B09TSD62XR?psc=1","https://m.media-amazon.com/images/I/81qqxiy4ByL._AC_SY355_.jpg","Flysheep",29.99,1225,363,300,39109.39,10508.33,196,55343,"CN",13.78,1,4.5,2209,7,14,"GIMI HOME","Home & Kitchen","Large Standard-Size","FBA","14.65 x 3.27 x 10.75 in",3.81,"N/A","Mar 2, 2022",,"No",54,"GIMI HOME"
63.,"Wake In Cloud - Floral Quilt Set, Cute Vintage Flower Cottagecore Shabby Chic for Women Teen Girls, Reversible Lightweight Bedspread Coverlet, 3 Pieces, Olive Green, King Size","B0CRPV81W1","https://www.amazon.com/dp/B0CRPV81W1?psc=1","https://m.media-amazon.com/images/I/91738okwh5L._AC_SY355_.jpg","Wake In Cloud",38.99,1226,164,"N/A",37350.19,6024.72,175,43937,"AU",14.88,1,4.4,180,7,13,"Wake In Cloud","Home & Kitchen","Large Standard-Size","FBA","14.33 x 4.72 x 10.87 in",5.51,"N/A","Jan 6, 2024",,"No",32,"Wake In Cloud"
64.,"Andency Queen Quilt Bedding Set Sage Green, 3 Pieces Striped Bedspreads","B093P4THHF","https://www.amazon.com/dp/B093P4THHF?psc=1","https://m.media-amazon.com/images/I/91nl+f1sZUL._AC_SY355_.jpg","Andency",33.99,3589,229,300,177670.49,8913.54,71,18261,"CN",13.55,3,4.6,5808,8,44,"Andency","Home & Kitchen","Large Standard-Size","FBA","16.00 x 5.12 x 10.09 in",6.26,"N/A","Apr 28, 2021",,"No",65,"Andency"
65.,"EVERGRACEHOME Cotton Ribbed Matelassé Coverlet Set, Queen Size, Mocha Brown","B0DFGCK4PX","https://www.amazon.com/dp/B0DFGCK4PX?psc=1","https://m.media-amazon.com/images/I/81pqOI6Y5vL._AC_SY355_.jpg","EverGrace",90.24,1596,100,"N/A",147254.94,8957.9,75,25003,"US",22.12,2,4.4,420,9,31,"EVERGRACEHOME","Home & Kitchen","Large Standard-Size","FBA","16.85 x 4.41 x 13.11 in",6.68,"N/A","Aug 27, 2024",,"No",25,"EVERGRACEHOME"
66.,"VIVILINEN Blue Floral Patchwork Quilt Set, Full Queen Size, 3 Piece Bedding Set with 2 Pillowcases","B089N2X45M","https://www.amazon.com/dp/B089N2X45M?psc=1","https://m.media-amazon.com/images/I/81PrJYOriiL._AC_SY355_.jpg","VIVILINEN",37.93,1671,394,400,81389.87,14483.14,98,26635,"CN",13.65,1,4.4,2470,8,68,"Litken","Home & Kitchen","Large Standard-Size","FBA","16.26 x 2.56 x 12.32 in",5.07,"N/A","Sep 8, 2019",,"No",84,"Litken"
67.,"Litanika Floral Black Quilt King - 3Pcs Summer Boho Bedding Set","B0FWQX3CH6","https://www.amazon.com/dp/B0FWQX3CH6?psc=1","https://m.media-amazon.com/images/I/81f372hZSxL._AC_SY355_.jpg","Litanika",42.99,2846,238,200,150491.85,10467.04,63,28413,"CN",15.4,3,4.5,304,7,53,"Andency","Home & Kitchen","Large Standard-Size","FBA","15.94 x 5.24 x 10.35 in",8.25,"N/A","Oct 16, 2025",,"No",11,"Andency"
68.,"Bedsure King Size Comforter Set Boho, Vintage Plaid Bedding Set Beige 3 Pcs","B0CL4VPXQ5","https://www.amazon.com/dp/B0CL4VPXQ5?psc=1","https://m.media-amazon.com/images/I/91SLh849ZYL._AC_SY355_.jpg","Bedsure",66.99,6018,820,800,394047.16,58495,75,3835,"HK",21.45,3,4.3,2192,9,70,"Bedsure Sleep Solutions","Home & Kitchen","Large Standard-Size","FBA","15.79 x 7.87 x 12.13 in",10.3,"N/A","May 31, 2024",,"No",28,"Bedsure Sleep Solutions"
69.,"Madison Park Patchwork Farmhouse Red/Black King Quilt Set, 3pc","B0DP2YYBRF","https://www.amazon.com/dp/B0DP2YYBRF?psc=1","https://m.media-amazon.com/images/I/91yJ61Be7UL._AC_SY355_.jpg","Madison Park",67.49,718,63,100,57131.02,4996.03,62,60319,"AMZ",26.43,2,4.6,1112,7,11,"Amazon","Home & Kitchen","Large and Bulky","AMZ","17.00 x 8.00 x 16.00 in",9.05,"N/A","Nov 26, 2024",,"No",22,"Amazon"
70.,"Whale Flotilla Patchwork Quilts Queen Size, Extra Soft Floral Bedspreads","B0BJ1C827W","https://www.amazon.com/dp/B0BJ1C827W?psc=1","https://m.media-amazon.com/images/I/91FgdgdQNJL._AC_SY355_.jpg","Whale Flotilla",28.49,2554,170,200,80964.43,4874.25,72,25167,"CN",12.48,2,4.6,2581,7,6,"Whale Flotilla","Home & Kitchen","Large Standard-Size","FBA","14.37 x 5.47 x 10.24 in",5.07,"N/A","Oct 12, 2022",,"No",47,"Whale Flotilla"
71.,"Maple&Stone White Quilt Set Queen Size, Lightweight Bedspread","B09P3NKL53","https://www.amazon.com/dp/B09P3NKL53?psc=1","https://m.media-amazon.com/images/I/71PwPZaCa+L._AC_SX355_.jpg","Maple&Stone",29.99,1904,404,400,71465.31,12118.32,61,29386,"CN",12.39,2,4.4,2757,7,3,"Havana Home","Home & Kitchen","Large Standard-Size","FBA","14.84 x 7.24 x 7.28 in",5.4,"N/A","Dec 23, 2021",,"No",57,"Havana Home"
72.,"Queen Quilt Set-3 Pieces Soft Bedding Lightweight Floral Patchwork Coverlet","B0FPX8Y2LG","https://www.amazon.com/dp/B0FPX8Y2LG?psc=1","https://m.media-amazon.com/images/I/91CEBEHrA+L._AC_SY355_.jpg","BLOOMHAVEN",39.98,2742,305,200,138844.17,14451.95,75,21898,"US",14.87,1,4.7,210,8,39,"BLOOMHAVEN INC.","Home & Kitchen","Large Standard-Size","FBA","15.51 x 5.55 x 12.56 in",5.67,"N/A","Sep 5, 2025",,"No",12,"BLOOMHAVEN INC."
73.,"EVERGRACEHOME 100% Cotton Modern Lines Quilt Set Queen Size, Olive Green","B0FNM5N2LQ","https://www.amazon.com/dp/B0FNM5N2LQ?psc=1","https://m.media-amazon.com/images/I/81pcbvXeinL._AC_SY355_.jpg","EverGrace",89.99,3298,118,200,318749.49,10484.65,72,5558,"US",22.89,2,4.4,404,9,98,"EVERGRACEHOME","Home & Kitchen","Large Standard-Size","FBA","17.04 x 5.20 x 13.23 in",8.69,"N/A","Aug 24, 2025",,"No",13,"EVERGRACEHOME"
74.,"Bedsure Floral Quilts Queen Size, Reversible Botanical Floral Comforter","B0BHN685LQ","https://www.amazon.com/dp/B0BHN685LQ?psc=1","https://m.media-amazon.com/images/I/91azW+DwSGL._AC_SY355_.jpg","Bedsure",38.99,1595,93,50,74193.56,4430.08,71,46391,"US",16.05,1,4.6,3933,8,45,"Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.96 x 7.24 x 7.60 in",5.47,"N/A","Oct 7, 2022",,"No",47,"Bedsure  Collections"
75.,"DJY Quilt Queen Size, 3 Pcs Blue Floral Boho Bedspread Coverlet Bedding Set","B09721M4VC","https://www.amazon.com/dp/B09721M4VC?psc=1","https://m.media-amazon.com/images/I/71+m0gYsYCL._AC_SY355_.jpg","DJY",31.9,2554,132,100,106834.15,4995.27,75,27932,"HK",12.75,1,4.6,5021,8,"N/A","ZZDYUS","Home & Kitchen","Large Standard-Size","FBA","14.21 x 7.09 x 7.17 in",4.37,"N/A","Jun 10, 2021",,"No",63,"ZZDYUS"
76.,"($) White Queen Quilt Bedding Set with 2 Pillow Shams, White Quilts Full Size","B00SFFOFY4","https://www.amazon.com/dp/B00SFFOFY4?psc=1","https://m.media-amazon.com/images/I/81Icf0a1kML._AC_SY355_.jpg","Southshore Fine Living, Inc.",54.99,9580,303,300,519647.93,16672.36,73,6682,"US",17.72,3,4.6,13910,9,97,"SouthShore Fine Living, Inc.","Home & Kitchen","Large Standard-Size","FBA","15.87 x 7.09 x 10.87 in",7.23,"N/A","Jan 19, 2015","Sponsored","No",140,"SouthShore Fine Living, Inc."
77.,"($) Secgo King Size Comforter Set- 100% Cotton Quilt King Size Set, Green, Sage bedspreads (96 * 108 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedding","B091CBY73X","https://www.amazon.com/dp/B091CBY73X?psc=1","https://m.media-amazon.com/images/I/810qfdjn0qL._AC_SY355_.jpg","Secgo",85.49,4961,400,400,546681.75,36025.2,164,8178,"CN",24.04,2,4.6,6897,6,72,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.09 x 4.61 x 12.56 in",7.85,"N/A","May 10, 2021","Sponsored","No",64,"Brindille"
78.,"($) EVERGRACEHOME 100% Cotton Box Stitch Quilt Set, Queen Size, Olive Green","B0F1T4ZFHF","https://www.amazon.com/dp/B0F1T4ZFHF?psc=1","https://m.media-amazon.com/images/I/81NL2a4meiL._AC_SY355_.jpg","EVERGRACEHOME",90.24,1507,68,50,139291.36,6169.96,71,22136,"US",22.76,1,4.5,341,9,41,"EVERGRACEHOME","Home & Kitchen","Large Standard-Size","FBA","17.13 x 4.96 x 13.35 in",7.76,"N/A","Mar 17, 2025","Sponsored","No",18,"EVERGRACEHOME"
79.,"($) 100% Cotton Beige Bedding Queen Size Quilt Set, Geometric Matelasse","B0FZHX1FPF","https://www.amazon.com/dp/B0FZHX1FPF?psc=1","https://m.media-amazon.com/images/I/71XN+i-CEzL._AC_SY355_.jpg","AJOCCI",106.99,1439,14,"N/A",135352.1,1399.28,67,72341,"CN",25.77,1,4.5,250,8,15,"MEIZIZI","Home & Kitchen","Large Standard-Size","FBA","16.06 x 4.41 x 12.05 in",6.7,"N/A","Nov 3, 2025","Sponsored","No",10,"MEIZIZI"
80.,"($) Grassix 100% Cotton Quilt Set King Size, Paisley Design, Slate Blue","B0GX57QQRX","https://www.amazon.com/dp/B0GX57QQRX?psc=1","https://m.media-amazon.com/images/I/81hquN-yiIL._AC_SY355_.jpg","Grassix",109.99,92,4,"N/A",9736.09,486.72,67,448249,"CN",26.05,1,4.8,31,9,3,"LQY Home","Home & Kitchen","Large Standard-Size","FBA","4.50 x 16.00 x 12.00 in",9.2,"N/A","Apr 13, 2026","Sponsored","No",5,"LQY Home"
81.,"($) LEAONME Velvet Quilt California King-118''x106'', Lightweight Caramel Velvet Comforter Set with 2 Pillow Shams, Soft Oversized Bedspread Coverlet Quilted Bedding Set for All Season","B0D4QYWZ6Y","https://www.amazon.com/dp/B0D4QYWZ6Y?psc=1","https://m.media-amazon.com/images/I/813+S-is0lL._AC_SY355_.jpg","LEAONME",86.39,1519,49,"N/A",136654.32,4855.21,180,36775,"CN",22.93,1,4.8,480,7,9,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.76 x 6.73 x 11.97 in",10.19,"N/A","May 21, 2024","Sponsored","No",28,"LEAONME HOME"
82.,"($) LEAONME Velvet Quilt California King Size 118''x106'', Lightweight Olive Green Velvet Comforter Set with 2 Matching Shams, Soft Cross Stitch Bedspread Coverlet, Oversized King Quilt Set for All Season","B0F6TVRRG6","https://www.amazon.com/dp/B0F6TVRRG6?psc=1","https://m.media-amazon.com/images/I/81SYv41wa0L._AC_SY355_.jpg","LEAONME",105.29,1351,31,"N/A",140327.64,3394.25,200,41563,"CN",27.16,1,4.6,289,7,8,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.52 x 7.48 x 12.44 in",10.6,"N/A","Apr 29, 2025","Sponsored","No",17,"LEAONME HOME"
83.,"($) LEAONME Luxury Velvet Quilt Set California King Size 106''x118'', Soft Striped Channel Comforter with Exquisite Rice Stitch Detailing, Lightweight All-Season Bedspread Coverlet w/ 2 Shams, Olive Green","B0GJJR964W","https://www.amazon.com/dp/B0GJJR964W?psc=1","https://m.media-amazon.com/images/I/81060Tr8nsL._AC_SY355_.jpg","LEAONME",122.88,734,19,"N/A",89084.93,2355.72,200,162035,"CN",28.65,1,4.6,53,7,17,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","6.69 x 17.71 x 12.99 in",10.47,"N/A","Jan 23, 2026","Sponsored","No",8,"LEAONME HOME"
84.,"($) LEAONME Velvet Quilt King Size-98''x106'', Lightweight Caramel Velvet Comforter Set with 2 Pillow Shams, Soft Bedspread Coverlet Quilted Bedding Set for All Season","B0D4R1LK4W","https://www.amazon.com/dp/B0D4R1LK4W?psc=1","https://m.media-amazon.com/images/I/813+S-is0lL._AC_SY355_.jpg","LEAONME",80.99,1519,22,"N/A",136654.32,1913.4,163,36775,"CN",21.87,1,4.8,480,7,9,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.28 x 6.46 x 11.93 in",8.84,"N/A","May 21, 2024","Sponsored","No",28,"LEAONME HOME"
85.,"($) LEAONME Velvet Quilt King Size 98''x106'', Lightweight Burnt Orange Velvet Comforter Set with 2 Matching Shams, Soft Cross Stitch Bedspread Coverlet Bedding Set for All Season","B0F6TVDM5Z","https://www.amazon.com/dp/B0F6TVDM5Z?psc=1","https://m.media-amazon.com/images/I/81gCqU2pJvL._AC_SY355_.jpg","LEAONME",89.99,1351,22,"N/A",140327.64,1958.47,175,41563,"CN",23.3,1,4.6,289,7,12,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.48 x 6.61 x 11.93 in",8.93,"N/A","Apr 29, 2025","Sponsored","No",17,"LEAONME HOME"
86.,"($) LEAONME Luxury Velvet Quilt Set King Size 98''x106'', Ultra-Soft Striped Channel Comforter with Exquisite Rice Stitch Detailing, Lightweight All-Season Bedspread Coverlet w/ 2 Shams, Caramel/Brown","B0GJJ474NP","https://www.amazon.com/dp/B0GJJ474NP?psc=1","https://m.media-amazon.com/images/I/81m+PVi2MfL._AC_SY355_.jpg","LEAONME",105.73,734,30,"N/A",89084.93,3258.88,196,162035,"CN",25.83,1,4.6,53,7,17,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.68 x 6.61 x 12.32 in",9.3,"N/A","Jan 23, 2026","Sponsored","No",8,"LEAONME HOME"
87.,"($) LEAONME Velvet Quilt Full/Queen Size-90''x98'', Lightweight Caramel Velvet Comforter Set with 2 Pillow Shams, Soft Bedspread Coverlet Quilted Bedding Set for All Season","B0D4QZDTVN","https://www.amazon.com/dp/B0D4QZDTVN?psc=1","https://m.media-amazon.com/images/I/813+S-is0lL._AC_SY355_.jpg","LEAONME",67.22,1519,32,"N/A",136654.32,2381,168,36775,"CN",20.62,1,4.8,480,7,13,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.28 x 6.02 x 12.24 in",7.56,"N/A","May 21, 2024","Sponsored","No",28,"LEAONME HOME"
88.,"($) LEAONME Velvet Quilt King Size 98''x106'', Lightweight Olive Green Velvet Comforter Set with 2 Matching Shams, Soft Cross Stitch Bedspread Coverlet Bedding Set for All Season","B0F6TV4182","https://www.amazon.com/dp/B0F6TV4182?psc=1","https://m.media-amazon.com/images/I/81SYv41wa0L._AC_SY355_.jpg","LEAONME",89.99,1351,62,50,140327.64,5568.85,174,41563,"CN",23.38,1,4.6,289,7,8,"LEAONME HOME","Home & Kitchen","Large Standard-Size","FBA","17.63 x 6.34 x 12.68 in",8.88,"N/A","Apr 29, 2025","Sponsored","No",17,"LEAONME HOME"
89.,"($) EVERGRACE 100% Cotton Cross Stitch 3-Piece Quilt Set, King, Powder Blue","B0GYP4VH5B","https://www.amazon.com/dp/B0GYP4VH5B?psc=1","https://m.media-amazon.com/images/I/81qeMhkWFSL._AC_SY355_.jpg","EverGrace",119.99,1480,8,"N/A",185050.47,1044.07,71,22705,"US",34,2,4.5,452,9,20,"EVERGRACEHOME","Home & Kitchen","Large and Bulky","FBA","19.60 x 5.08 x 17.13 in",9.79,"N/A","Apr 27, 2026","Sponsored","No",5,"EVERGRACEHOME"
